,o,h,l,c,v,prediction_close,batch_open,trade,ror,cr,mdd,ma5,ma10,ma20,ma50,ma100,rate,noise,noise_ma,up,down,au,ad,rsi,rsi_shift_1
2016-08-19,0.006077124318603307,0.005262900808813738,0.006050144029435258,0.0060849889460955235,0.0034190471612711047,0.00696669053286314,0.006077124318603307,1,1.0002588272702646,1.3070406081797452,6.08851632804877,0.006055695372994987,0.006169889096302483,0.00626982158918782,0.006962504835981751,0.006484479077023851,0.2,1.0184349784953621,1.1148539192977216,3.560989361544274e-05,0,4.055924490068459e-05,4.5360221629195146e-05,47.2061181694832,46.359192881313504
2016-08-20,0.006098939103952497,0.005337624056582652,0.006295538718501125,0.006202056471356291,0.001749877233867735,0.006163233891129494,0.006098939103952497,1,1.0033814853910237,1.3114603469017798,5.7709560179627015,0.006068220324583229,0.0061554497859999235,0.006209689949572229,0.006934798574589277,0.006502291517061016,0.2,1.0099900926980285,1.1111372348584865,0.00011706752526076739,0,3.605501728563596e-05,4.5360221629195146e-05,44.285342358760744,47.2061181694832
2016-08-21,0.006168983856910441,0.005395629067983036,0.0064088559947713675,0.006179355164176447,0.000843084328783779,0.0065809148363769054,0.006168983856910441,1,1.0006724807525238,1.3123422787427694,5.707588799556064,0.006108288297673578,0.006136513958717225,0.006176448371897273,0.006906053513894459,0.006520470504852007,0.4,1.1076478197500743,1.1134186932856065,0,2.2701307179844032e-05,3.200651152340397e-05,4.6981743570612577e-05,40.52059573326174,44.285342358760744
2016-08-22,0.0061667578584054215,0.005424122757793752,0.0063557527050906535,0.006259180675697731,0.003796251731405544,0.006905091926455498,0.0061667578584054215,1,1.0089923573535162,1.3241433294833522,4.8596777423169755,0.006116005092490979,0.006125087166391458,0.006154715206493267,0.006868974314796848,0.006538446184779541,0.6,1.0102359229849964,1.107789922423419,7.982551152128405e-05,0,3.7708333774924256e-05,4.3653914226788414e-05,46.34622899570142,40.52059573326174
2016-08-23,0.006244371006280431,0.005410166664825238,0.006408704703347775,0.006212591064884194,0.003141811832915737,0.007212107069790363,0.006244371006280431,1,0.9969463754125814,1.3200998928551755,5.15020056961797,0.00615123522883042,0.006121288128942892,0.0061864356851897935,0.0068461236981433235,0.006557215804173865,0.6,1.0992055605026283,1.108249947387668,0,4.658961081353656e-05,3.7708333774924256e-05,4.06970212747917e-05,48.09407948094084,46.34622899570142
2016-08-24,0.006207122631296439,0.0053681530099512756,0.006399627217932269,0.006159176224461029,0.0022253065959332878,0.006792122032493353,0.006207122631296439,1,0.995365349484768,1.3139816912065965,5.589796241417646,0.0061772348913690465,0.006116465132182017,0.006198515437077032,0.006816897821771422,0.006575425955943927,0.6,1.031826487713898,1.1073498191656042,0,5.341484042316498e-05,2.9049618571407254e-05,4.451236701930349e-05,39.489987033568575,48.09407948094084
2016-08-25,0.006168241857408767,0.0053194520605299,0.006335479654329354,0.0061573957297802575,0.003121292791590162,0.006684671621769667,0.006168241857408767,0,1,1.3139816912065965,5.589796241417646,0.0061910954420603004,0.006129657883321765,0.006198151857321212,0.006789758447998225,0.006593775603620304,0.2,1.04648340347963,1.106335867527984,0,1.7804946807718769e-06,2.9049618571407254e-05,4.026249578722227e-05,41.911314984709456,39.489987033568575
2016-08-26,0.006140045876345189,0.005373386544814468,0.006379959332865339,0.006170007567102394,0.0024429969985912286,0.007167489733546972,0.006140045876345189,0,1,1.3139816912065965,5.589796241417646,0.006185307845947249,0.006146798071810415,0.006200207195940847,0.006760390107722003,0.006611997627382393,0.0,1.0106750381320704,1.1052703114517548,1.2611837322136152e-05,0,2.995046409441698e-05,3.8598581115310195e-05,43.69202226345084,41.911314984709456
2016-08-27,0.0061722486547178025,0.00532439484345625,0.006239409600348574,0.006015252904431947,0.0019848192509982206,0.007366539444774389,0.0061722486547178025,1,0.9949128507593143,1.3072972702439,6.0700750377810895,0.006186406005209725,0.006151205548850352,0.006191637101696522,0.006742294223875198,0.006630614394879371,0.2,1.0297660607432844,1.1040613070863,0,0.0001547546626704463,2.995046409441698e-05,4.552979255117326e-05,39.679865206402646,43.69202226345084
2016-08-28,0.006017764358469456,0.005235860878687244,0.006269516593643339,0.006098194281644583,0.0007351938689778946,0.006997748278081417,0.006017764358469456,0,1,1.3072972702439,6.0700750377810895,0.006141084675647531,0.006146159952238975,0.00617311679413476,0.0067139528109092916,0.006650085945802278,0.0,1.1715773876408704,1.1089790088738487,8.29413772126357e-05,0,3.587484818103381e-05,2.999285682491163e-05,54.46500402252611,39.679865206402646
2016-08-29,0.00610220390175986,0.005264936072371646,0.006296749049889859,0.006075938098134931,0.0017258673506698945,0.007492197677493095,0.00610220390175986,0,1,1.3072972702439,6.0700750377810895,0.006120100929740214,0.00614866791055463,0.0061592785034285565,0.006691817481775378,0.006669431356809899,0.0,1.0778111732487172,1.1106341314087678,0,2.225618350965193e-05,3.587484818103381e-05,2.9823285902933275e-05,54.60558154541055,54.46500402252611
2016-08-30,0.006065697526277541,0.005286742467634948,0.0062959925927718995,0.006131281807795599,0.0032806398283179916,0.0070813242346048355,0.006065697526277541,0,1,1.3072972702439,6.0700750377810895,0.00609959206351397,0.006145343752787134,0.006150396769393529,0.0066686581933291566,0.006688429512050739,0.0,1.0254559863072465,1.1112148007388751,5.5343709660668136e-05,0,2.7385703899495298e-05,2.9823285902933275e-05,47.86958132641725,54.60558154541055
2016-08-31,0.006141975075049539,0.0052865970916665265,0.006293723221418022,0.006064958380936837,0.0026852988023576803,0.0067315190099179745,0.006141975075049539,1,0.9949842392278299,1.3007401798782456,6.54120507073947,0.00609997790325484,0.006142642874601045,0.006139578416659135,0.006646861215968006,0.006708784042380635,0.4,1.0649832130207664,1.087471192409406,0,6.632342685876196e-05,2.7385703899495298e-05,2.7078356603409573e-05,50.28215606149061,47.86958132641725
2016-09-01,0.006065845926177876,0.005233825615129335,0.00627042434218489,0.006077421843702242,0.0020464027756254364,0.006818217691034079,0.006065845926177876,0,1,1.3007401798782456,6.54120507073947,0.006078697357546854,0.00613255168137829,0.006128819423884874,0.006619327098459919,0.006727797037611508,0.0,1.0764717866661424,1.080378326702475,1.2463462765404873e-05,0,2.8275951239881358e-05,2.6272894724012688e-05,51.836020983096965,50.28215606149061
2016-09-02,0.006070297923187914,0.005253305994897885,0.00627299629638595,0.006083356825971483,0.0021761491932678263,0.007205474656075239,0.006070297923187914,0,1,1.3007401798782456,6.54120507073947,0.0060892040704905465,0.006115144373069039,0.006118216251005965,0.006595229922643583,0.006746456841079584,0.0,1.0111672174265294,1.1226893808369272,5.934982269240746e-06,0,2.6156314715152645e-05,2.6272894724012688e-05,49.88882150798467,51.836020983096965
2016-09-03,0.0060843959137197035,0.005608604861721285,0.006302951998257122,0.006387524667270056,0.0034565096454741606,0.0076231458224356174,0.0060843959137197035,0,1,1.3007401798782456,6.54120507073947,0.006085642472882515,0.006102871701311364,0.0061096684167466905,0.006569022500244488,0.0067648183607479885,0.0,1.0128067409215178,1.087066920250263,0.0003041678412985735,0,3.952062300356737e-05,2.6272894724012688e-05,60.0676546391753,49.88882150798467
2016-09-04,0.006444265672031173,0.005759941244848602,0.0066338263416523425,0.006561864771428995,0.0030447081169640766,0.007160375360399485,0.006444265672031173,1,1.010949185404464,1.3149822252707686,5.517907397381204,0.006161356102033241,0.006130474082773605,0.0061300659830476854,0.006548736233868745,0.006786214658378234,0.6,1.436566930938656,1.0929018487399333,0.00017434010415893868,0,5.19734875863487e-05,2.4651372782595257e-05,67.82849239280773,60.0676546391753
